Date,AAPL,AMZN,BTC-USD,CSCO,ETH-USD,IEF,META,TEF
2021-07-20,144.07257080078125,178.6595001220703,29807.34765625,50.066123962402344,1787.5107421875,112.42768096923828,341.6600036621094,3.6840107440948486
2021-07-21,143.33319091796875,179.25999450683594,32110.693359375,50.34645080566406,1990.9708251953125,111.7787094116211,346.2300109863281,3.787060260772705
2021-07-22,144.71331787109375,181.90150451660156,32313.10546875,50.96316909790039,2025.2027587890625,112.03639221191406,351.19000244140625,3.7527105808258057
2021-07-23,146.44827270507812,182.83200073242188,33581.55078125,51.607913970947266,2124.776611328125,111.86460876464844,369.7900085449219,3.8042349815368652
2021-07-24,,,34292.4453125,,2189.21875,,,
2021-07-25,,,35350.1875,,2191.373779296875,,,
2021-07-26,146.8721923828125,184.99099731445312,37337.53515625,51.83217239379883,2233.36669921875,111.78824615478516,372.4599914550781,3.8729348182678223
2021-07-27,144.68373107910156,181.3195037841797,39406.94140625,51.654632568359375,2298.33349609375,112.26541900634766,367.80999755859375,3.8986971378326416
2021-07-28,142.919189453125,181.51600646972656,39995.90625,51.17808532714844,2296.54541015625,112.36083984375,373.2799987792969,3.8901095390319824
2021-07-29,143.56980895996094,179.99600219726562,40008.421875,51.45840835571289,2380.956787109375,112.01729583740234,358.32000732421875,3.864347457885742
2021-07-30,143.78668212890625,166.37950134277344,42235.546875,51.738731384277344,2466.96142578125,112.33220672607422,356.29998779296875,3.9416344165802
2021-07-31,,,41626.1953125,,2536.2099609375,,,
2021-08-01,,,39974.89453125,,2561.85205078125,,,
2021-08-02,143.45152282714844,166.57400512695312,39201.9453125,51.81348419189453,2610.1533203125,112.8249740600586,351.95001220703125,4.01033353805542
2021-08-03,145.26535034179688,168.31199645996094,38152.98046875,52.56101989746094,2502.349609375,112.85360717773438,351.239990234375,4.147732734680176
2021-08-04,144.86117553710938,167.73599243164062,39747.50390625,52.03774642944336,2724.619873046875,112.8249740600586,358.9200134277344,4.113382816314697
2021-08-05,144.96961975097656,168.79949951171875,40869.5546875,52.103153228759766,2827.328857421875,112.41434478759766,362.9700012207031,4.1219706535339355
